Title,URL,HackerRank,LeetCode,CodeChef
1.11 Best Worst and Average Case Analysis,https://www.youtube.com/watch?v=lj3E24nnPjI,"https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem
https://www.hackerrank.com/challenges/tutorial-intro/problem
https://www.hackerrank.com/challenges/quicksort1/problem
https://www.hackerrank.com/challenges/insertionsort1/problem","https://leetcode.com/problems/search-a-2d-matrix-ii/
https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
https://leetcode.com/problems/search-in-rotated-sorted-array/
https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
https://leetcode.com/problems/sort-an-array/","https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/learn/course/time-complexity"
1.12 Disjoint Sets Data Structure - Weighted Union and Collapsing Find,https://www.youtube.com/watch?v=wU6udHRIkcc,"https://www.hackerrank.com/challenges/merging-communities/problem
https://www.hackerrank.com/challenges/components-in-graph/problem","https://leetcode.com/problems/redundant-connection/
https://leetcode.com/problems/redundant-connection-ii/
https://leetcode.com/problems/number-of-provinces/
https://leetcode.com/problems/accounts-merge/
https://leetcode.com/problems/number-of-operations-to-make-network-connected/
https://leetcode.com/problems/satisfiability-of-equality-equations/
https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/
https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable/
https://leetcode.com/problems/min-cost-to-connect-all-points/
https://leetcode.com/problems/regions-cut-by-slashes/","https://www.codechef.com/learn/course/dsu
https://discuss.codechef.com/t/dsu05-editorial/120224
https://discuss.codechef.com/t/disjointsetunion/70303
https://www.codechef.com/problems/CYCLIC"
2 Divide And Conquer,https://www.youtube.com/watch?v=2Rr2tW9zvRg,"https://www.hackerrank.com/challenges/quicksort1/problem
https://www.hackerrank.com/challenges/366/problem
https://www.hackerrank.com/challenges/quicksort3/problem
https://www.hackerrank.com/challenges/quicksort4/problem
https://www.hackerrank.com/challenges/ctci-merge-sort/problem","https://leetcode.com/problems/maximum-subarray/
https://leetcode.com/problems/kth-largest-element-in-an-array/
https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/merge-k-sorted-lists/
https://leetcode.com/problems/majority-element/
https://leetcode.com/problems/reverse-pairs/
https://leetcode.com/problems/count-of-smaller-numbers-after-self/",https://www.codechef.com/learn/course/college-design-analysis-algorithms
2.1.1 Recurrence Relation (T(n)= T(n-1) + 1) #1,https://www.youtube.com/watch?v=4V30R3I1vLI,"https://www.hackerrank.com/challenges/30-recursion/problem
https://www.hackerrank.com/challenges/recursion-in-c/problem
https://www.hackerrank.com/challenges/recursive-digit-sum/problem","https://leetcode.com/problems/fibonacci-number/
https://leetcode.com/problems/climbing-stairs/
https://leetcode.com/problems/power-of-two/
https://leetcode.com/problems/factorial-trailing-zeroes/","https://www.codechef.com/learn/recursion
https://www.codechef.com/learn/course/college-design-analysis-algorithms"
2.1.2 Recurrence Relation (T(n)= T(n-1) + n) #2,https://www.youtube.com/watch?v=IawM82BQ4II,"https://www.hackerrank.com/challenges/30-recursion/problem
https://www.hackerrank.com/challenges/recursion-in-c/problem
https://www.hackerrank.com/challenges/the-power-sum/problem","https://leetcode.com/problems/climbing-stairs/
https://leetcode.com/problems/fibonacci-number/
https://leetcode.com/problems/powx-n/
https://leetcode.com/problems/k-th-symbol-in-grammar/","https://www.codechef.com/learn/recursion
https://www.codechef.com/learn/course/college-design-analysis-algorithms"
2.1.3 Recurrence Relation (T(n)= T(n-1) + log n) #3,https://www.youtube.com/watch?v=MhT7XmxhaCE,"https://www.hackerrank.com/challenges/recursion-in-c/problem
https://www.hackerrank.com/challenges/30-recursion/problem
https://www.hackerrank.com/challenges/the-power-sum/problem
https://www.hackerrank.com/challenges/recursive-digit-sum/problem","https://leetcode.com/problems/fibonacci-number/
https://leetcode.com/problems/climbing-stairs/
https://leetcode.com/problems/powx-n/
https://leetcode.com/problems/k-th-symbol-in-grammar/
https://leetcode.com/problems/different-ways-to-add-parentheses/","https://www.codechef.com/problems/FCTRL2
https://www.codechef.com/learn/recursion"
2.1.4 Recurrence Relation T(n)=2 T(n-1)+1  #4,https://www.youtube.com/watch?v=JvcqtZk2mng,"https://www.hackerrank.com/challenges/30-recursion/problem
https://www.hackerrank.com/challenges/recursion-in-c/problem
https://www.hackerrank.com/challenges/the-power-sum/problem","https://leetcode.com/problems/fibonacci-number/
https://leetcode.com/problems/climbing-stairs/
https://leetcode.com/problems/k-th-symbol-in-grammar/
https://leetcode.com/problems/powx-n/
https://leetcode.com/problems/pascals-triangle/
https://leetcode.com/problems/different-ways-to-add-parentheses/","https://www.codechef.com/learn/recursion
https://www.codechef.com/problems/COINS"
2.2 Masters Theorem Decreasing Function,https://www.youtube.com/watch?v=CyknhZbfMqc,"https://www.hackerrank.com/challenges/30-recursion/problem
https://www.hackerrank.com/challenges/recursion-in-c/problem
https://www.hackerrank.com/challenges/recursive-digit-sum/problem","https://leetcode.com/problems/fibonacci-number/
https://leetcode.com/problems/climbing-stairs/
https://leetcode.com/problems/k-th-symbol-in-grammar/
https://leetcode.com/problems/powx-n/","https://www.codechef.com/learn/recursion
https://www.codechef.com/problems/COINS"
2.3.1 Recurrence Relation Dividing Function T(n)=T(n/2)+1 #1,https://www.youtube.com/watch?v=8gt0D0IqU5w,"https://www.hackerrank.com/challenges/icecream-parlor/problem
https://www.hackerrank.com/challenges/tutorial-intro/problem","https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/search-insert-position/
https://leetcode.com/problems/guess-number-higher-or-lower/
https://leetcode.com/problems/sqrtx/
https://leetcode.com/problems/valid-perfect-square/
https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/","https://www.codechef.com/practice/course/binary-search
https://www.codechef.com/practice-old/topics/data-structures"
2.3.2 Recurrence Relation Dividing [ T(n)=T(n/2)+ n].   #2,https://www.youtube.com/watch?v=XcZw01FuH18,"https://www.hackerrank.com/challenges/ctci-merge-sort/problem
https://www.hackerrank.com/challenges/quicksort1/problem
https://www.hackerrank.com/challenges/quicksort2/problem","https://leetcode.com/problems/maximum-subarray/
https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/kth-largest-element-in-an-array/
https://leetcode.com/problems/powx-n/
https://leetcode.com/problems/binary-search/",https://www.codechef.com/learn/course/college-design-analysis-algorithms
2.3.3 Recurrence Relation [ T(n)= 2T(n/2) +n]  #3,https://www.youtube.com/watch?v=1K9ebQJosvo,"https://www.hackerrank.com/challenges/ctci-merge-sort/problem
https://www.hackerrank.com/challenges/quicksort1/problem
https://www.hackerrank.com/challenges/quicksort2/problem
https://www.hackerrank.com/challenges/quicksort4/problem","https://leetcode.com/problems/maximum-subarray/
https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/merge-k-sorted-lists/
https://leetcode.com/problems/kth-largest-element-in-an-array/
https://leetcode.com/problems/different-ways-to-add-parentheses/","https://www.codechef.com/learn/course/college-design-analysis-algorithms
https://www.codechef.com/practice/course/binary-search"
2.4.1 Masters Theorem in Algorithms for Dividing Function #1,https://www.youtube.com/watch?v=OynWkEj0S-s,"https://www.hackerrank.com/challenges/ctci-merge-sort/problem
https://www.hackerrank.com/challenges/quicksort1/problem
https://www.hackerrank.com/challenges/quicksort2/problem
https://www.hackerrank.com/challenges/quicksort4/problem","https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/maximum-subarray/
https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/kth-largest-element-in-an-array/
https://leetcode.com/problems/merge-k-sorted-lists/","https://www.codechef.com/learn/course/college-design-analysis-algorithms
https://www.codechef.com/practice/course/binary-search"
2.4.2 Examples for Master Theorem #2,https://www.youtube.com/watch?v=kGcO-nAm9Vc,"https://www.hackerrank.com/challenges/ctci-merge-sort/problem
https://www.hackerrank.com/challenges/quicksort1/problem
https://www.hackerrank.com/challenges/quicksort2/problem
https://www.hackerrank.com/challenges/quicksort4/problem","https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/maximum-subarray/
https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/kth-largest-element-in-an-array/
https://leetcode.com/problems/merge-k-sorted-lists/
https://leetcode.com/problems/powx-n/","https://www.codechef.com/learn/course/college-design-analysis-algorithms
https://www.codechef.com/practice/course/binary-search"
2.5 Root function (Recurrence Relation),https://www.youtube.com/watch?v=9rVuyjxzwgM,"https://www.hackerrank.com/challenges/recursion-in-c/problem
https://www.hackerrank.com/challenges/30-recursion/problem
https://www.hackerrank.com/challenges/the-power-sum/problem","https://leetcode.com/problems/sqrtx/
https://leetcode.com/problems/valid-perfect-square/
https://leetcode.com/problems/powx-n/
https://leetcode.com/problems/fibonacci-number/
https://leetcode.com/problems/k-th-symbol-in-grammar/","https://www.codechef.com/learn/recursion
https://www.codechef.com/problems/FCTRL2
https://www.codechef.com/problems/COINS"
2.6.1 Binary Search Iterative Method,https://www.youtube.com/watch?v=C2apEw9pgtw,"https://www.hackerrank.com/challenges/tutorial-intro/problem
https://www.hackerrank.com/challenges/icecream-parlor/problem
https://www.hackerrank.com/challenges/minimum-loss/problem
https://www.hackerrank.com/challenges/triple-sum/problem","https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/search-insert-position/
https://leetcode.com/problems/guess-number-higher-or-lower/
https://leetcode.com/problems/first-bad-version/
https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
https://leetcode.com/problems/search-in-rotated-sorted-array/
https://leetcode.com/problems/search-in-rotated-sorted-array-ii/
https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/
https://leetcode.com/problems/search-a-2d-matrix/
https://leetcode.com/problems/search-a-2d-matrix-ii/
https://leetcode.com/problems/sqrtx/
https://leetcode.com/problems/valid-perfect-square/
https://leetcode.com/problems/koko-eating-bananas/
https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/
https://leetcode.com/problems/split-array-largest-sum/
https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/
https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/
https://leetcode.com/problems/magnetic-force-between-two-balls/
https://leetcode.com/problems/find-peak-element/","https://www.codechef.com/practice/course/binary-search
https://www.codechef.com/practice-old/topics/data-structures
https://www.codechef.com/learn/course/college-design-analysis-algorithms
https://www.codechef.com/practice/course/binary-search/PJA10/problems/JADEBUG07
https://www.codechef.com/practice/tags/binary-search"
2.6.2 Binary Search Recursive Method,https://www.youtube.com/watch?v=uEUXGcc2VXM,"https://www.hackerrank.com/challenges/tutorial-intro/problem
https://www.hackerrank.com/challenges/icecream-parlor/problem
https://www.hackerrank.com/challenges/triple-sum/problem","https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/search-insert-position/
https://leetcode.com/problems/guess-number-higher-or-lower/
https://leetcode.com/problems/first-bad-version/
https://leetcode.com/problems/search-a-2d-matrix/
https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
https://leetcode.com/problems/search-in-rotated-sorted-array/
https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
https://leetcode.com/problems/sqrtx/
https://leetcode.com/problems/koko-eating-bananas/
https://leetcode.com/problems/find-peak-element/","https://www.codechef.com/practice/course/binary-search
https://www.codechef.com/learn/course/college-design-analysis-algorithms
https://www.codechef.com/practice/tags/binary-search"
2.6.3 Heap - Heap Sort - Heapify - Priority Queues,https://www.youtube.com/watch?v=HqPJF2L5h9U,"https://www.hackerrank.com/challenges/qheap1/problem
https://www.hackerrank.com/challenges/jesse-and-cookies/problem
https://www.hackerrank.com/challenges/find-the-running-median/problem
https://www.hackerrank.com/challenges/merge-two-sorted-arrays/problem
https://www.hackerrank.com/challenges/kth-largest-element/problem","https://leetcode.com/problems/kth-largest-element-in-an-array/
https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
https://leetcode.com/problems/top-k-frequent-elements/
https://leetcode.com/problems/top-k-frequent-words/
https://leetcode.com/problems/k-closest-points-to-origin/
https://leetcode.com/problems/find-k-pairs-with-smallest-sums/
https://leetcode.com/problems/find-median-from-data-stream/
https://leetcode.com/problems/merge-k-sorted-lists/
https://leetcode.com/problems/last-stone-weight/
https://leetcode.com/problems/task-scheduler/
https://leetcode.com/problems/seat-reservation-manager/
https://leetcode.com/problems/ugly-number-ii/
https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/
https://leetcode.com/problems/ipo/
https://leetcode.com/problems/maximum-performance-of-a-team/
https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/sort-characters-by-frequency/
https://leetcode.com/problems/kth-largest-element-in-a-stream/
https://leetcode.com/problems/relative-ranks/","https://www.codechef.com/practice/heaps
https://www.codechef.com/learn/course/priority-queues
https://www.codechef.com/learn/course/heap-sort
https://www.codechef.com/practice/data-structures
https://www.codechef.com/problems/MAGIC"
2.7.1  Two Way MergeSort - Iterative method,https://www.youtube.com/watch?v=6pV2IF0fgKY,"https://www.hackerrank.com/challenges/ctci-merge-sort/problem
https://www.hackerrank.com/challenges/merge-two-sorted-arrays/problem
https://www.hackerrank.com/challenges/runningtime/problem","https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/merge-sorted-array/
https://leetcode.com/problems/merge-two-sorted-lists/
https://leetcode.com/problems/merge-k-sorted-lists/
https://leetcode.com/problems/sort-list/
https://leetcode.com/problems/maximum-gap/
https://leetcode.com/problems/count-of-smaller-numbers-after-self/
https://leetcode.com/problems/reverse-pairs/","https://www.codechef.com/learn/course/merge-sort
https://www.codechef.com/learn/course/college-design-analysis-algorithms
https://www.codechef.com/problems/MRGSRT"
2.7.2.  Merge Sort Algorithm,https://www.youtube.com/watch?v=mB5HXBb_HY8,"https://www.hackerrank.com/challenges/ctci-merge-sort/problem
https://www.hackerrank.com/challenges/quicksort2/problem
https://www.hackerrank.com/challenges/runningtime/problem","https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/sort-list/
https://leetcode.com/problems/merge-sorted-array/
https://leetcode.com/problems/merge-two-sorted-lists/
https://leetcode.com/problems/merge-k-sorted-lists/
https://leetcode.com/problems/reverse-pairs/
https://leetcode.com/problems/count-of-smaller-numbers-after-self/
https://leetcode.com/problems/count-of-range-sum/
https://leetcode.com/problems/global-and-local-inversions/","https://www.codechef.com/learn/course/merge-sort
https://www.codechef.com/learn/course/college-design-analysis-algorithms
https://www.codechef.com/problems/MRGSRT"
2.7.3 MergeSort in-depth Analysis,https://www.youtube.com/watch?v=ak-pz7tS5DE,"https://www.hackerrank.com/challenges/ctci-merge-sort/problem
https://www.hackerrank.com/challenges/runningtime/problem
https://www.hackerrank.com/challenges/quicksort4/problem","https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/sort-list/
https://leetcode.com/problems/reverse-pairs/
https://leetcode.com/problems/count-of-smaller-numbers-after-self/
https://leetcode.com/problems/count-of-range-sum/
https://leetcode.com/problems/global-and-local-inversions/
https://leetcode.com/problems/maximum-gap/","https://www.codechef.com/learn/course/merge-sort
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/problems/MRGSRT"
2.8.1  QuickSort Algorithm,https://www.youtube.com/watch?v=7h1s2SojIRw,"https://www.hackerrank.com/challenges/quicksort1/problem
https://www.hackerrank.com/challenges/quicksort2/problem
https://www.hackerrank.com/challenges/quicksort3/problem
https://www.hackerrank.com/challenges/quicksort4/problem
https://www.hackerrank.com/challenges/quick-sort-2/problem","https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/kth-largest-element-in-an-array/
https://leetcode.com/problems/kth-largest-element-in-a-stream/
https://leetcode.com/problems/sort-colors/
https://leetcode.com/problems/wiggle-sort-ii/
https://leetcode.com/problems/top-k-frequent-elements/
https://leetcode.com/problems/sort-list/
https://leetcode.com/problems/largest-number/","https://www.codechef.com/learn/course/quick-sort
https://www.codechef.com/learn/course/college-design-analysis-algorithms
https://www.codechef.com/problems/TSORT"
2.8.2 QuickSort Analysis,https://www.youtube.com/watch?v=-qOVVRIZzao,"https://www.hackerrank.com/challenges/quicksort1/problem
https://www.hackerrank.com/challenges/quicksort2/problem
https://www.hackerrank.com/challenges/quicksort3/problem
https://www.hackerrank.com/challenges/quicksort4/problem
https://www.hackerrank.com/challenges/countingsort1/problem
https://www.hackerrank.com/challenges/quick-sort-2/problem","https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/kth-largest-element-in-an-array/
https://leetcode.com/problems/sort-colors/
https://leetcode.com/problems/kth-largest-element-in-a-stream/
https://leetcode.com/problems/wiggle-sort-ii/
https://leetcode.com/problems/top-k-frequent-elements/
https://leetcode.com/problems/maximum-gap/","https://www.codechef.com/learn/course/quick-sort
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/learn/course/college-design-analysis-algorithms
https://www.codechef.com/problems/TSORT"
2.9 Strassens Matrix Multiplication,https://www.youtube.com/watch?v=0oJyNmEbS4w,"https://www.hackerrank.com/challenges/matrix-rotation-algo/problem
https://www.hackerrank.com/challenges/2d-array/problem
https://www.hackerrank.com/challenges/matrix-script/problem","https://leetcode.com/problems/multiply-strings/
https://leetcode.com/problems/spiral-matrix/
https://leetcode.com/problems/spiral-matrix-ii/
https://leetcode.com/problems/rotate-image/
https://leetcode.com/problems/matrix-block-sum/
https://leetcode.com/problems/sparse-matrix-multiplication/
https://leetcode.com/problems/transpose-matrix/
https://leetcode.com/problems/reshape-the-matrix/","https://www.codechef.com/practice/arrays
https://www.codechef.com/learn/course/college-design-analysis-algorithms"
